"V1","V2","V3","V4","V5","V6"
"id","datetime","age","domhand","gender","id"
"900","2023-05-08","10:29:25","25","rechtshändig","weiblich"
"EXPERIMENT","DATA","EXPERIMENT","DATA","EXPERIMENT","DATA"
"trialno","trialtype","x","y","timestamp","trialno"
"0","tip_middle_finger","182.77155","259.79703","1683534620220","0"
"1","knuckle_small_finger","86.89139","1071.1632","1683534627790","1"
"2","knuckle_index_finger","647.19104","943.6881","1683534635485","2"
"3","wrist","774.3182","654.4887","1683534645636","3"
"4","tip_middle_finger","467.41574","402.6854","1683534652008","4"
"5","wrist","384.6299","1182.9651","1683534658216","5"
"6","tip_middle_finger","493.38327","494.6136","1683534665535","6"
"7","tip_middle_finger","453.43323","526.5886","1683534671981","7"
"8","knuckle_index_finger","667.1924","901.29584","1683534680278","8"
"9","knuckle_index_finger","704.1199","855.3318","1683534687464","9"
"10","knuckle_index_finger","701.1236","791.2247","1683534694044","10"
"11","knuckle_index_finger","681.14856","797.3771","1683534700426","11"
"12","wrist","419.47568","1247.0258","1683534706994","12"
"13","tip_middle_finger","789.01373","626.011","1683534714916","13"
"14","wrist","367.5406","1121.1241","1683534720739","14"
"15","knuckle_small_finger","86.89139","796.3778","1683534728178","15"
"16","knuckle_small_finger","201.74782","955.2537","1683534736610","16"
"17","knuckle_index_finger","622.2222","827.35364","1683534743901","17"
"18","knuckle_index_finger","582.27216","853.3333","1683534822479","18"
"19","tip_middle_finger","480.3995","443.65338","1683534829200","19"
"20","knuckle_small_finger","76.90387","1106.1359","1683534836522","20"
"21","wrist","739.0762","825.35516","1683534843941","21"
"22","wrist","268.66418","1170.0858","1683534850357","22"
"23","tip_middle_finger","364.22763","756.0515","1683534857205","23"
"24","wrist","237.70288","1246.0265","1683534863395","24"
"25","wrist","794.0075","1121.1241","1683534870444","25"
"26","knuckle_index_finger","565.2934","934.2701","1683534878261","26"
"27","knuckle_small_finger","81.89763","1095.1444","1683534886288","27"
"28","knuckle_index_finger","552.30963","1045.1835","1683534894974","28"
"29","knuckle_index_finger","558.3021","974.2389","1683534901750","29"
"30","wrist","329.588","1250.0234","1683534908766","30"
"31","tip_middle_finger","471.41074","560.5621","1683534916452","31"
"32","knuckle_small_finger","227.73099","1138.1108","1683534924024","32"
"33","tip_middle_finger","344.5693","728.4309","1683534931826","33"
"34","knuckle_small_finger","244.29866","1081.551","1683534939308","34"
"35","tip_middle_finger","446.44196","677.4707","1683534946710","35"
"36","knuckle_small_finger","170.78651","1089.149","1683534954364","36"
"37","knuckle_small_finger","237.16704","1057.7102","1683534962481","37"
"38","knuckle_small_finger","240.69913","1051.1787","1683534968903","38"
"39","wrist","366.54184","1263.0133","1683534975736","39"
