id,datetime,age,domhand,gender
900,2023-05-08 10:52:25,25,rechtshändig,weiblich
EXPERIMENT DATA
trialno,trialtype,x,y,timestamp
0,wrist,370.53683,1103.1382,1683536029441
1,wrist,457.6825,1033.4288,1683536035363
2,wrist,438.45193,1049.1803,1683536041212
3,knuckle_small_finger,64.91885,622.5137,1683536048113
4,wrist,522.2419,1073.1616,1683536054383
5,knuckle_index_finger,592.2597,538.5792,1683536061867
6,wrist,574.3587,1060.325,1683536068320
7,knuckle_index_finger,618.22723,531.5847,1683536075613
8,tip_middle_finger,221.72285,79.937546,1683536082103
9,knuckle_index_finger,642.19727,644.49646,1683536088896
10,wrist,617.22845,1090.1483,1683536095445
11,tip_middle_finger,174.87512,218.29802,1683536101922
12,knuckle_index_finger,731.0862,740.4216,1683536110275
13,knuckle_index_finger,714.10736,720.43713,1683536117107
14,wrist,606.42285,1070.2595,1683536123344
15,tip_middle_finger,192.75905,202.84152,1683536129904
16,knuckle_index_finger,648.18976,605.5269,1683536137258
17,tip_middle_finger,219.72534,153.87978,1683536143904
18,tip_middle_finger,316.60425,154.879,1683536151624
19,tip_middle_finger,214.73158,121.90476,1683536158297
20,wrist,607.1094,1026.1982,1683536164951
21,knuckle_small_finger,274.65668,866.3232,1683536172559
22,tip_middle_finger,224.7191,320.74942,1683536179889
23,knuckle_small_finger,295.63046,903.2943,1683536187230
24,wrist,546.31714,875.31616,1683536193977
25,knuckle_small_finger,317.603,875.8158,1683536200833
26,knuckle_index_finger,570.2872,652.49023,1683536209529
27,knuckle_index_finger,482.397,672.4746,1683536216600
28,tip_middle_finger,78.8697,464.05817,1683536224519
29,tip_middle_finger,133.83272,413.67682,1683536231019
30,knuckle_small_finger,332.5843,974.2389,1683536238542
31,knuckle_index_finger,640.19977,703.45044,1683536247507
32,tip_middle_finger,146.81648,357.72052,1683536257211
33,knuckle_small_finger,345.7528,920.281,1683536264157
34,knuckle_small_finger,308.61423,629.5082,1683536275375
35,knuckle_small_finger,264.66916,624.5121,1683536288177
36,wrist,271.66043,627.50977,1683536298936
37,knuckle_small_finger,353.55804,999.21936,1683536305473
38,knuckle_index_finger,394.50687,737.4239,1683536317127
39,knuckle_small_finger,196.75406,598.5324,1683536332724
