id,datetime,age,domhand,gender
004,2023-06-05 10:21:22,23,rechtshändig,männlich
EXPERIMENT DATA
trialno,trialtype,x,y,timestamp
0,knuckle_index_finger,675.15607,603.5285,1685953424430
1,knuckle_small_finger,175.78027,621.51447,1685953431551
2,tip_middle_finger,379.5256,191.85011,1685953438654
3,wrist,344.5693,1277.0023,1685953445674
4,knuckle_index_finger,13.982522,824.35596,1685953453759
5,knuckle_index_finger,727.5905,790.38245,1685953462138
6,wrist,338.57678,1200.0625,1685953468836
7,knuckle_index_finger,759.0512,859.3287,1685953476850
8,tip_middle_finger,474.407,183.85637,1685953483921
9,wrist,276.63574,1127.2301,1685953490315
10,tip_middle_finger,423.47067,128.89929,1685953497170
11,tip_middle_finger,446.44196,21.982826,1685953504073
12,knuckle_small_finger,127.8402,630.5074,1685953511325
13,knuckle_index_finger,545.31836,623.5129,1685953519581
14,knuckle_index_finger,578.27716,677.4707,1685953526141
15,knuckle_index_finger,600.2497,659.4848,1685953532761
16,knuckle_small_finger,10.986267,657.4863,1685953540762
17,knuckle_small_finger,177.77779,693.45825,1685953547789
18,wrist,255.6804,1104.1375,1685953554472
19,wrist,365.5431,1075.16,1685953560550
20,knuckle_small_finger,135.83022,756.40906,1685953567599
21,wrist,421.47318,1095.1444,1685953574541
22,wrist,386.52545,1043.185,1685953651427
23,wrist,362.5468,1066.1671,1685953658809
24,tip_middle_finger,483.61887,219.82826,1685953667253
25,tip_middle_finger,544.31964,202.84152,1685953674385
26,wrist,333.58304,1030.1952,1685953681177
27,wrist,473.592,943.8147,1685953687850
28,tip_middle_finger,584.26965,293.64932,1685953695281
29,knuckle_index_finger,791.9652,761.4948,1685953702943
30,tip_middle_finger,571.7853,129.89851,1685953710412
31,knuckle_small_finger,322.59677,555.566,1685953717656
32,knuckle_small_finger,267.66544,715.44104,1685953724930
33,tip_middle_finger,670.1623,207.83763,1685953731798
34,knuckle_small_finger,383.5206,647.49414,1685953739909
35,knuckle_small_finger,249.11339,499.24713,1685953747054
36,knuckle_index_finger,776.10767,524.6679,1685953755393
37,knuckle_small_finger,134.98532,501.91595,1685953762339
38,knuckle_index_finger,755.0562,697.45514,1685953769790
39,tip_middle_finger,494.38202,6.0772347,1685953776685
