id,datetime,age,domhand,gender
900,2023-05-08 10:43:34,25,rechtshändig,weiblich
EXPERIMENT DATA
trialno,trialtype,x,y,timestamp
0,knuckle_small_finger,311.6105,655.4879,1683535632851
1,knuckle_small_finger,127.8402,706.44806,1683535640265
2,knuckle_small_finger,108.36455,758.4075,1683535646868
3,knuckle_small_finger,101.87266,740.4216,1683535653475
4,tip_middle_finger,378.52686,161.87354,1683535660162
5,tip_middle_finger,301.1236,168.86807,1683535667000
6,wrist,364.54434,1103.1382,1683535673541
7,knuckle_index_finger,596.2547,328.74316,1683535680854
8,knuckle_index_finger,593.2584,684.4653,1683535687159
9,knuckle_index_finger,600.2497,696.4559,1683535693388
10,tip_middle_finger,255.6804,181.85793,1683535700062
11,wrist,472.4095,1043.185,1683535706698
12,wrist,418.97626,972.7401,1683535712720
13,knuckle_small_finger,241.69788,750.41376,1683535720959
14,wrist,557.3034,873.31775,1683535727087
15,knuckle_index_finger,674.1573,599.5316,1683535735875
16,tip_middle_finger,410.4869,291.77206,1683535742547
17,knuckle_index_finger,622.2222,735.4255,1683535751067
18,knuckle_small_finger,230.71161,819.35986,1683535758452
19,knuckle_index_finger,678.15234,626.51056,1683535766615
20,tip_middle_finger,416.4794,262.79468,1683535773284
21,knuckle_index_finger,785.01874,632.50586,1683535781618
22,tip_middle_finger,312.60925,196.8462,1683535788338
23,knuckle_index_finger,789.01373,701.45197,1683535796597
24,tip_middle_finger,304.61923,168.86807,1683535803429
25,wrist,522.21124,1106.1359,1683535810070
26,tip_middle_finger,393.50812,632.50586,1683535818996
27,wrist,542.3221,1115.1288,1683535825695
28,tip_middle_finger,324.59427,383.70023,1683535833153
29,wrist,494.38202,1151.1007,1683535839486
30,wrist,517.34143,1152.0822,1683535845895
31,knuckle_index_finger,601.2485,642.49805,1683535853407
32,wrist,535.3309,1154.864,1683535859916
33,wrist,515.35583,1112.1311,1683535865839
34,knuckle_small_finger,223.72035,865.324,1683535873793
35,knuckle_index_finger,637.2035,593.5363,1683535882396
36,knuckle_small_finger,283.64545,753.4114,1683535889348
37,knuckle_small_finger,300.10294,743.94073,1683535895885
38,knuckle_small_finger,424.46942,642.49805,1683535908408
39,tip_middle_finger,311.6105,272.7869,1683535914232
