"V1","V2","V3","V4","V5","V6"
"id","datetime","age","domhand","gender","id"
"001","2023-05-24","09:41:57","25","rechtshändig","weiblich"
"EXPERIMENT","DATA","EXPERIMENT","DATA","EXPERIMENT","DATA"
"trialno","trialtype","x","y","timestamp","trialno"
"0","knuckle_index_finger","401.88556","751.0254","1684914195931","0"
"1","knuckle_small_finger","148.81398","943.76263","1684914204370","1"
"2","wrist","364.07898","1235.8015","1684914211630","2"
"3","knuckle_index_finger","404.24985","800.6193","1684914220601","3"
"4","knuckle_small_finger","152.80899","1069.1647","1684914228552","4"
"5","knuckle_index_finger","419.47568","910.2888","1684914236406","5"
"6","tip_middle_finger","232.70912","687.4629","1684914245285","6"
"7","knuckle_small_finger","174.78152","1049.1803","1684914252561","7"
"8","wrist","394.50687","1271.0071","1684914259463","8"
"9","tip_middle_finger","223.72035","723.4348","1684914267215","9"
"10","wrist","365.5431","1274.0046","1684914274164","10"
"11","knuckle_small_finger","182.77155","1118.1265","1684914282191","11"
"12","knuckle_small_finger","194.75656","1120.7373","1684914289503","12"
"13","knuckle_index_finger","460.42447","908.4104","1684914297395","13"
"14","knuckle_small_finger","120.84894","1029.1959","1684914305455","14"
"15","knuckle_index_finger","487.39078","892.30286","1684914313195","15"
"16","knuckle_small_finger","111.860176","1029.1959","1684914320746","16"
"17","knuckle_small_finger","188.76405","1022.2014","1684914328165","17"
"18","knuckle_index_finger","454.43198","859.3287","1684914337110","18"
"19","wrist","321.59802","1253.0211","1684914344567","19"
"20","knuckle_index_finger","426.46692","855.0562","1684914352810","20"
"21","knuckle_index_finger","420.47443","909.2896","1684914359587","21"
"22","tip_middle_finger","222.7216","757.40826","1684914366944","22"
"23","tip_middle_finger","263.6704","773.6678","1684914373604","23"
"24","wrist","418.4769","1225.043","1684914380845","24"
"25","tip_middle_finger","246.69164","692.45905","1684914388343","25"
"26","tip_middle_finger","256.67917","729.4301","1684914395264","26"
"27","wrist","435.4557","1269.0085","1684914403782","27"
"28","tip_middle_finger","253.6829","684.4653","1684914411256","28"
"29","wrist","419.47568","1277.0023","1684914420687","29"
"30","tip_middle_finger","259.6754","707.4473","1684914428895","30"
"31","wrist","398.5019","1268.0094","1684914436956","31"
"32","knuckle_small_finger","130.33708","1109.1335","1684914444775","32"
"33","wrist","435.4557","1266.011","1684914454156","33"
"34","tip_middle_finger","322.5065","781.47986","1684914461736","34"
"35","wrist","419.47568","1267.0101","1684914469624","35"
"36","knuckle_index_finger","449.4382","942.26385","1684914477461","36"
"37","knuckle_index_finger","423.47067","960.2498","1684914484005","37"
"38","tip_middle_finger","254.68166","783.388","1684914492157","38"
"39","knuckle_small_finger","147.81523","1028.1968","1684914499651","39"
