id,datetime,age,domhand,gender
001,2023-05-24 09:59:50,25,rechtshändig,weiblich
EXPERIMENT DATA
trialno,trialtype,x,y,timestamp
0,knuckle_small_finger,47.940075,824.35596,1684915535786
1,knuckle_index_finger,333.58304,856.331,1684915544032
2,knuckle_index_finger,292.63422,860.3279,1684915551049
3,knuckle_index_finger,292.2881,863.6718,1684915558142
4,wrist,185.76779,1271.0071,1684915565735
5,tip_middle_finger,124.84395,777.39264,1684915574277
6,knuckle_index_finger,287.64044,986.2295,1684915582618
7,knuckle_small_finger,4.9937577,1106.1359,1684915591830
8,knuckle_small_finger,7.9505105,1059.1725,1684915599464
9,knuckle_small_finger,8.988764,1023.2006,1684915606670
10,tip_middle_finger,147.81523,784.3872,1684915614546
11,tip_middle_finger,154.3071,797.3771,1684915621438
12,tip_middle_finger,120.21203,802.37317,1684915629457
13,tip_middle_finger,121.043755,792.186,1684915636273
14,knuckle_small_finger,4.9937577,1047.1819,1684915644478
15,wrist,230.71161,1275.134,1684915652755
16,knuckle_small_finger,212.73409,928.2748,1684915823336
17,knuckle_small_finger,208.73907,900.29663,1684915830402
18,tip_middle_finger,357.55307,655.4879,1684915837893
19,tip_middle_finger,382.52185,638.50116,1684915844723
20,knuckle_index_finger,503.177,844.53424,1684915852363
21,knuckle_small_finger,143.82022,922.2795,1684915859311
22,knuckle_index_finger,483.39575,874.31696,1684915866706
23,wrist,363.54556,1215.0508,1684915873295
24,knuckle_small_finger,137.0188,965.2459,1684915880816
25,wrist,360.54932,1272.0062,1684915887331
26,wrist,351.56055,1246.0265,1684915893306
27,knuckle_index_finger,470.30643,924.3835,1684915901188
28,knuckle_index_finger,439.4399,907.2966,1684915907895
29,wrist,382.52185,1271.0071,1684915915062
30,knuckle_small_finger,123.8452,1037.1897,1684915922340
31,tip_middle_finger,304.61923,671.4754,1684915930079
32,tip_middle_finger,320.59924,664.4809,1684915937191
33,wrist,343.57056,1238.0328,1684915943862
34,wrist,368.53934,1217.0492,1684915949880
35,tip_middle_finger,319.6005,702.45123,1684915956907
36,knuckle_index_finger,491.38577,921.2803,1684915963906
37,knuckle_index_finger,432.1742,889.30524,1684915970652
38,wrist,340.57428,1266.011,1684915977112
39,wrist,373.53308,1244.0281,1684915983315
